Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_RESPONSE_TO_GROWTH_HORMONE	29	0.56113	0.94206	1	0.43887	0.058941	0.20669	0.31521	0.13686	0.52293	14	0.41739	0.76024	1	15	0.21986	0.00999	0.1204
GO_PROTEIN_DEMANNOSYLATION	13	0.63444	0.96404	1	0.36556	0.036963	0.15542	0.32496	0.25874	0.64591	4	0.33997	0.44356	1	9	0.31828	0.21678	0.53892
GO_G1_DNA_DAMAGE_CHECKPOINT	69	0.3975	0.067932	0.72439	0.6025	0.93307	1	0.33168	0.071928	0.43118	42	0.28263	0.027972	0.57661	27	0.40798	0.58741	0.80731
GO_POSITIVE_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	11	0.60337	0.91309	1	0.39663	0.087912	0.26784	0.34512	0.34865	0.72171	4	0.38381	0.55145	1	7	0.32301	0.25674	0.57104
GO_RESPONSE_TO_OXYGEN_LEVELS	301	0.52224	1	1	0.47776	0.000999	0.013594	0.36736	0.19081	0.57698	146	0.39371	0.82917	1	155	0.34254	0.00999	0.1204
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	801	0.46545	0.66933	1	0.53455	0.33167	0.58361	0.3761	0.31868	0.6988	444	0.37491	0.71329	1	357	0.37759	0.082917	0.35772
GO_PHOTOTRANSDUCTION_VISIBLE_LIGHT	20	0.44804	0.44755	1	0.55196	0.55345	0.78588	0.3733	0.44955	0.77792	12	0.39114	0.59441	1	8	0.34653	0.30569	0.61992
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	35	0.41026	0.19281	1	0.58974	0.80819	0.96427	0.42621	0.81419	0.93386	24	0.45074	0.9031	1	11	0.37269	0.38761	0.6784
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	13	0.53746	0.78721	1	0.46254	0.21379	0.44713	0.38021	0.5005	0.79979	5	0.29166	0.31369	0.95895	8	0.43556	0.62338	0.82503
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	30	0.52318	0.84915	1	0.47682	0.15185	0.37133	0.413	0.70729	0.89773	17	0.52296	0.97602	1	13	0.2692	0.055944	0.30221
GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	78	0.52184	0.94406	1	0.47816	0.056943	0.20273	0.36902	0.33866	0.71436	40	0.42738	0.9011	1	38	0.30758	0.032967	0.23098
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	65	0.45672	0.47453	1	0.54328	0.52647	0.76297	0.29583	0.006993	0.1733	36	0.28615	0.046953	0.69831	29	0.30785	0.055944	0.30221
GO_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	35	0.48716	0.7023	1	0.51284	0.2987	0.54981	0.41697	0.76324	0.91926	18	0.40819	0.71728	1	17	0.42626	0.63936	0.83301
GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	142	0.53234	0.999	1	0.46766	0.001998	0.022784	0.37818	0.45854	0.77905	62	0.36198	0.44755	1	80	0.39073	0.3956	0.68322
GO_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS	15	0.39759	0.22577	1	0.60241	0.77522	0.9401	0.27806	0.078921	0.44485	10	0.30493	0.3007	0.95895	5	0.22433	0.11289	0.40181
GO_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER	71	0.44348	0.33666	1	0.55652	0.66434	0.86549	0.46526	0.98402	0.99139	39	0.41036	0.7982	1	32	0.53217	0.99401	1
GO_OXIDATIVE_PHOSPHORYLATION	80	0.48484	0.75025	1	0.51516	0.25075	0.49437	0.44735	0.96803	0.98808	43	0.4577	0.97602	1	37	0.43533	0.75125	0.90048
GO_APOPTOTIC_NUCLEAR_CHANGES	24	0.4186	0.2967	1	0.5814	0.7043	0.89597	0.43033	0.77423	0.92027	14	0.37217	0.55644	1	10	0.51176	0.88112	0.95967
GO_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION	12	0.63365	0.96903	1	0.36635	0.031968	0.14238	0.37909	0.5045	0.80213	5	0.57568	0.92607	1	7	0.23868	0.075924	0.345
GO_CELLULAR_AMIDE_METABOLIC_PROCESS	681	0.46324	0.5964	1	0.53676	0.4046	0.65671	0.34863	0.001998	0.096338	376	0.34355	0.052947	0.70258	305	0.35489	0.011988	0.13392
GO_PARENTAL_BEHAVIOR	11	0.65872	0.97702	1	0.34128	0.023976	0.11726	0.21987	0.042957	0.36575	4	0.36381	0.50949	1	7	0.13762	0.005994	0.093604
GO_REGULATION_OF_DNA_BINDING	93	0.47286	0.64436	1	0.52714	0.35664	0.60943	0.34017	0.096903	0.47657	50	0.33589	0.23077	0.95731	43	0.34516	0.11089	0.39918
GO_IMMUNOGLOBULIN_PRODUCTION	40	0.39264	0.11289	0.94484	0.60736	0.88811	1	0.44643	0.88811	0.96301	23	0.33193	0.28571	0.95895	17	0.60134	0.997	1
GO_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION	25	0.57435	0.95305	1	0.42565	0.047952	0.18275	0.34843	0.3027	0.6823	11	0.42855	0.74725	1	14	0.28548	0.072927	0.33832
GO_TISSUE_MIGRATION	80	0.54996	0.99101	1	0.45004	0.00999	0.065848	0.34722	0.15784	0.54362	32	0.30893	0.12088	0.84004	48	0.37275	0.28771	0.60104
GO_ONE_CARBON_COMPOUND_TRANSPORT	12	0.57651	0.89411	1	0.42349	0.10689	0.29917	0.39263	0.55544	0.82241	5	0.45478	0.74026	1	7	0.34823	0.32767	0.63626
GO_LEFT_RIGHT_AXIS_SPECIFICATION	13	0.57459	0.8961	1	0.42541	0.1049	0.29619	0.39229	0.56643	0.82791	5	0.40391	0.61738	1	8	0.38503	0.44555	0.7176
GO_RESPONSE_TO_ISCHEMIA	28	0.5864	0.97702	1	0.4136	0.023976	0.11726	0.35679	0.35664	0.72705	10	0.34142	0.43556	1	18	0.36533	0.33067	0.63677
GO_ENSHEATHMENT_OF_NEURONS	87	0.52675	0.96104	1	0.47325	0.03996	0.16383	0.41656	0.84915	0.94644	42	0.45113	0.95504	1	45	0.3843	0.38062	0.67306
GO_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	13	0.39508	0.23676	1	0.60492	0.76424	0.93187	0.34942	0.35664	0.72705	9	0.37858	0.53946	1	4	0.2838	0.23676	0.55617
GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	962	0.49419	1	1	0.50581	0.000999	0.013594	0.39228	0.86014	0.9508	491	0.39327	0.96104	1	471	0.39126	0.28072	0.59257
GO_CHROMATIN_DISASSEMBLY	17	0.33127	0.06993	0.73336	0.66873	0.93107	1	0.36147	0.40559	0.75629	11	0.24582	0.10989	0.82972	6	0.57348	0.91209	0.97158
GO_PLATELET_MORPHOGENESIS	18	0.63169	0.98501	1	0.36831	0.015984	0.090788	0.34136	0.28671	0.66555	6	0.40711	0.65035	1	12	0.30849	0.15584	0.46109
GO_DENDRITE_MORPHOGENESIS	42	0.52715	0.89311	1	0.47285	0.10789	0.30101	0.41137	0.72527	0.90374	19	0.40942	0.71329	1	23	0.41298	0.57343	0.79987
GO_RESPONSE_TO_AMPHETAMINE	29	0.53254	0.86713	1	0.46746	0.13387	0.34286	0.34565	0.28172	0.66227	15	0.43036	0.7972	1	14	0.25488	0.038961	0.25299
GO_RESPONSE_TO_CAMP	103	0.59178	1	1	0.40822	0.000999	0.013594	0.33792	0.067932	0.42623	37	0.33396	0.24575	0.95895	66	0.34014	0.045954	0.27393
GO_MYOBLAST_DIFFERENTIATION	34	0.49176	0.7013	1	0.50824	0.2997	0.55096	0.345	0.26374	0.6484	19	0.3992	0.67233	1	15	0.27634	0.048951	0.28231
GO_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION	16	0.41882	0.29171	1	0.58118	0.70929	0.89898	0.36835	0.46454	0.78145	11	0.42255	0.72527	1	5	0.24913	0.15485	0.4609
GO_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	25	0.2658	0.001998	0.084411	0.7342	0.999	1	0.28747	0.053946	0.39554	19	0.22308	0.017982	0.53487	6	0.49139	0.76723	0.90932
GO_NEGATIVE_REGULATION_OF_HEMOPOIESIS	121	0.507	0.93207	1	0.493	0.068931	0.22853	0.36942	0.33367	0.70956	63	0.40789	0.85914	1	58	0.32763	0.037962	0.25091
GO_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	144	0.5085	0.95405	1	0.4915	0.046953	0.17971	0.36492	0.27073	0.65368	70	0.36427	0.47353	1	74	0.36554	0.16583	0.47665
GO_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	20	0.40319	0.23576	1	0.59681	0.76523	0.93283	0.36236	0.39461	0.75192	12	0.30727	0.23876	0.95731	8	0.44498	0.64935	0.8401
GO_REGULATION_OF_CHEMOKINE_SECRETION	12	0.51313	0.72028	1	0.48687	0.28072	0.5281	0.46276	0.81319	0.93386	8	0.61677	0.98202	1	4	0.15474	0.040959	0.25913
GO_RESPONSE_TO_STEROL	23	0.57248	0.94306	1	0.42752	0.057942	0.20497	0.30282	0.10589	0.48477	9	0.29438	0.23876	0.95731	14	0.30825	0.12288	0.41568
GO_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	28	0.53581	0.88012	1	0.46419	0.12088	0.32302	0.4462	0.85614	0.94875	14	0.51783	0.96503	1	14	0.37458	0.37762	0.67178
GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	54	0.38566	0.056943	0.65781	0.61434	0.94406	1	0.34962	0.20979	0.60157	36	0.34071	0.28871	0.95895	18	0.36745	0.34066	0.6462
GO_TRABECULA_MORPHOGENESIS	38	0.53109	0.89311	1	0.46891	0.10789	0.30101	0.29075	0.035964	0.34162	17	0.2768	0.11688	0.8315	21	0.30204	0.067932	0.32855
GO_PHOTORECEPTOR_CELL_MAINTENANCE	34	0.40773	0.18382	1	0.59227	0.81718	0.96822	0.45542	0.92008	0.97247	22	0.43659	0.84615	1	12	0.48994	0.82118	0.93073
GO_REGULATION_OF_CALCIUM_ION_IMPORT	96	0.46599	0.55944	1	0.53401	0.44156	0.68873	0.40073	0.71229	0.90044	56	0.42804	0.92507	1	40	0.36249	0.22977	0.54905
GO_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	28	0.53214	0.87013	1	0.46786	0.13087	0.3391	0.45842	0.89111	0.9639	12	0.44315	0.7952	1	16	0.46987	0.81918	0.93054
GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT	10	0.5956	0.89011	1	0.4044	0.11089	0.30421	0.45388	0.75924	0.91696	4	0.55634	0.87912	1	6	0.38558	0.48851	0.74554
GO_CELLULAR_RESPONSE_TO_GLUCAGON_STIMULUS	37	0.48632	0.67233	1	0.51368	0.32867	0.58064	0.39308	0.57243	0.83228	21	0.44122	0.85614	1	16	0.32989	0.17982	0.4935
GO_REGULATION_OF_METAL_ION_TRANSPORT	308	0.46642	0.63137	1	0.53358	0.36963	0.62298	0.39178	0.72727	0.90496	173	0.39879	0.90809	1	135	0.3828	0.27473	0.58747
GO_POSITIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	14	0.27246	0.018981	0.3583	0.72754	0.98202	1	0.37494	0.47453	0.78839	12	0.36992	0.4975	1	2	0.40505	0.4995	0.75401
GO_MODIFICATION_BY_SYMBIONT_OF_HOST_MORPHOLOGY_OR_PHYSIOLOGY	45	0.54296	0.93706	1	0.45704	0.063936	0.21733	0.37366	0.42857	0.76721	19	0.36003	0.47353	1	26	0.38363	0.42058	0.70281
GO_SISTER_CHROMATID_SEGREGATION	163	0.30185	0.000999	0.053392	0.69815	1	1	0.29701	0.000999	0.062416	121	0.25956	0.000999	0.15267	42	0.40489	0.55045	0.78595
GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	19	0.57984	0.93906	1	0.42016	0.061938	0.21415	0.47989	0.92108	0.97307	9	0.61955	0.98801	1	10	0.3542	0.32567	0.63433
GO_PHASIC_SMOOTH_MUSCLE_CONTRACTION	16	0.63564	0.97902	1	0.36436	0.021978	0.11029	0.26576	0.074925	0.43675	6	0.38273	0.57243	1	10	0.19558	0.017982	0.16754
GO_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	10	0.42342	0.39061	1	0.57658	0.61039	0.82501	0.35053	0.38561	0.74276	7	0.4267	0.72428	1	3	0.1728	0.1029	0.38478
GO_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS	52	0.5959	0.998	1	0.4041	0.002997	0.029348	0.24663	0.000999	0.062416	19	0.23154	0.020979	0.55345	33	0.25531	0.003996	0.073233
GO_ORGANELLE_MEMBRANE_FUSION	91	0.49755	0.84515	1	0.50245	0.15584	0.37695	0.33413	0.070929	0.43102	45	0.32177	0.14685	0.8678	46	0.34623	0.11389	0.40214
GO_REGULATION_OF_ERK1_AND_ERK2_CASCADE	226	0.52239	0.997	1	0.47761	0.003996	0.034622	0.38313	0.52547	0.81035	106	0.39012	0.77822	1	120	0.37695	0.22577	0.5433
GO_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	22	0.36312	0.10789	0.92218	0.63688	0.89311	1	0.41996	0.71828	0.90136	16	0.41301	0.72527	1	6	0.43847	0.63337	0.82983
GO_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	559	0.51478	1	1	0.48522	0.000999	0.013594	0.38072	0.47453	0.78839	268	0.38498	0.83317	1	291	0.3768	0.1009	0.38182
GO_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	19	0.60442	0.96404	1	0.39558	0.036963	0.15542	0.43495	0.78122	0.92216	8	0.57701	0.96903	1	11	0.33163	0.22777	0.54574
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	24	0.54008	0.88012	1	0.45992	0.12088	0.32302	0.4493	0.85115	0.94771	12	0.52946	0.96703	1	12	0.36915	0.36464	0.66196
GO_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS	16	0.56426	0.87413	1	0.43574	0.12687	0.33283	0.28568	0.12887	0.51438	7	0.3305	0.3986	0.99583	9	0.25081	0.070929	0.33253
GO_HEART_MORPHOGENESIS	208	0.53012	0.997	1	0.46988	0.003996	0.034622	0.34043	0.027972	0.30638	95	0.34388	0.21678	0.95731	113	0.33752	0.007992	0.11008
GO_RAS_PROTEIN_SIGNAL_TRANSDUCTION	139	0.43463	0.18082	1	0.56537	0.82018	0.96959	0.38685	0.58042	0.83813	78	0.33718	0.18581	0.92502	61	0.45036	0.91209	0.97158
GO_NEGATIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	27	0.51951	0.81718	1	0.48049	0.18382	0.41037	0.38378	0.50949	0.80517	13	0.4006	0.67133	1	14	0.36816	0.35165	0.65336
GO_REGULATION_OF_HORMONE_SECRETION	250	0.4827	0.83716	1	0.5173	0.16384	0.38556	0.3403	0.018981	0.27338	128	0.32198	0.04995	0.70258	122	0.35952	0.074925	0.34292
GO_REGULATION_OF_CALCIUM_ION_TRANSPORT	196	0.47314	0.72527	1	0.52686	0.27572	0.52203	0.40671	0.87213	0.95634	112	0.43387	0.98901	1	84	0.37051	0.2038	0.52887
GO_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	189	0.46643	0.59141	1	0.53357	0.40959	0.65927	0.40523	0.84416	0.94467	104	0.39856	0.85115	1	85	0.4134	0.64036	0.83358
GO_TERPENOID_METABOLIC_PROCESS	101	0.53508	0.98501	1	0.46492	0.015984	0.090788	0.37536	0.41259	0.75881	45	0.37774	0.58641	1	56	0.37344	0.26673	0.58188
GO_CELL_PROLIFERATION	628	0.45646	0.3966	1	0.54354	0.6044	0.82091	0.34402	0.002997	0.1187	351	0.33527	0.016983	0.52635	277	0.3551	0.003996	0.073233
GO_REGULATION_OF_LIPID_KINASE_ACTIVITY	47	0.45689	0.48152	1	0.54311	0.51948	0.75629	0.34176	0.19381	0.58168	29	0.39673	0.6983	1	18	0.25319	0.024975	0.19744
GO_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	23	0.47447	0.58242	1	0.52553	0.41858	0.66816	0.40858	0.65135	0.86664	12	0.3843	0.56244	1	11	0.43507	0.63636	0.83179
GO_LYSOSOME_LOCALIZATION	23	0.36764	0.087912	0.83151	0.63236	0.91309	1	0.37452	0.46853	0.7849	15	0.31752	0.25974	0.95895	8	0.48141	0.75924	0.90444
GO_VITAMIN_D_METABOLIC_PROCESS	11	0.5369	0.75624	1	0.4631	0.24476	0.48688	0.4165	0.65335	0.86748	4	0.29915	0.34865	0.97861	7	0.48355	0.74825	0.89981
GO_REGULATION_OF_FIBROBLAST_PROLIFERATION	80	0.43317	0.26074	1	0.56683	0.74026	0.9142	0.37315	0.42058	0.76306	46	0.33868	0.24176	0.95895	34	0.41978	0.68631	0.86007
GO_CELL_AGGREGATION	17	0.56861	0.90809	1	0.43139	0.092907	0.27753	0.43966	0.79421	0.92786	5	0.28071	0.28871	0.95895	12	0.50589	0.86014	0.95083
GO_RESPONSE_TO_HORMONE	856	0.51561	1	1	0.48439	0.000999	0.013594	0.36217	0.02997	0.31208	410	0.36676	0.46454	1	446	0.35796	0.002997	0.062111
GO_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION	21	0.47028	0.56244	1	0.52972	0.43856	0.68647	0.51495	0.97802	0.99129	12	0.52358	0.96004	1	9	0.50345	0.83716	0.93948
GO_REGULATION_OF_HEXOKINASE_ACTIVITY	10	0.61583	0.93007	1	0.38417	0.070929	0.2329	0.19219	0.018981	0.27338	4	0.27981	0.3027	0.95895	6	0.13377	0.016983	0.1641
GO_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_ABSENCE_OF_LIGAND	14	0.54866	0.83017	1	0.45134	0.17083	0.39305	0.30361	0.17383	0.56079	6	0.30109	0.31668	0.96067	8	0.3055	0.18781	0.50759
GO_CATECHOLAMINE_BIOSYNTHETIC_PROCESS	18	0.71113	0.999	1	0.28887	0.001998	0.022784	0.32236	0.21079	0.60185	5	0.54031	0.89411	1	13	0.23853	0.033966	0.23501
GO_POSITIVE_REGULATION_OF_MUSCLE_HYPERTROPHY	22	0.60492	0.95704	1	0.39508	0.043956	0.17332	0.43896	0.8002	0.9307	9	0.57076	0.96903	1	13	0.34771	0.25475	0.56888
GO_EMBRYONIC_PATTERN_SPECIFICATION	56	0.50876	0.84316	1	0.49124	0.15784	0.37889	0.34572	0.18482	0.57372	25	0.28683	0.084915	0.79903	31	0.39322	0.47453	0.73636
GO_RESPONSE_TO_PROTOZOAN	20	0.44532	0.43756	1	0.55468	0.56344	0.79311	0.39807	0.58841	0.84064	11	0.35338	0.45055	1	9	0.45269	0.6953	0.86596
GO_MULTIVESICULAR_BODY_ORGANIZATION	30	0.5446	0.91908	1	0.4554	0.081918	0.25627	0.37793	0.47752	0.791	13	0.38515	0.60939	1	17	0.37241	0.36563	0.66323
GO_REGULATION_OF_CELL_GROWTH	379	0.49128	0.95804	1	0.50872	0.042957	0.17167	0.37814	0.38362	0.74149	191	0.36571	0.46753	1	188	0.39076	0.32168	0.6321
GO_CENTROSOME_CYCLE	44	0.35865	0.022977	0.39202	0.64135	0.97802	1	0.29447	0.025974	0.30005	31	0.29867	0.13187	0.84004	13	0.28445	0.085914	0.36151
GO_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR	112	0.47751	0.73327	1	0.52249	0.26773	0.51392	0.37583	0.4046	0.75538	55	0.31867	0.11888	0.83803	57	0.43098	0.77423	0.91031
GO_PROTEIN_CARBOXYLATION	11	0.76986	0.996	1	0.23014	0.004995	0.040882	0.2807	0.14286	0.52652	1	0.012307	0.11588	0.82972	10	0.30753	0.17483	0.48581
GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	17	0.28476	0.014985	0.31062	0.71524	0.98601	1	0.28916	0.11888	0.50659	13	0.25375	0.07992	0.78191	4	0.40424	0.5025	0.75673
GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	16	0.37514	0.14186	1	0.62486	0.85914	0.98965	0.43913	0.78921	0.92544	10	0.35152	0.47053	1	6	0.58513	0.92707	0.97616
GO_NUCLEOTIDE_EXCISION_REPAIR_PREINCISION_COMPLEX_ASSEMBLY	29	0.46564	0.53746	1	0.53436	0.46354	0.71028	0.46511	0.93506	0.97737	17	0.48516	0.93806	1	12	0.4367	0.64036	0.83358
GO_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	14	0.42917	0.38162	1	0.57083	0.61938	0.83361	0.48967	0.91009	0.96841	9	0.4929	0.87213	1	5	0.48384	0.73826	0.89508
GO_LEARNING	124	0.49401	0.85714	1	0.50599	0.14386	0.35952	0.38296	0.51149	0.80531	64	0.39063	0.73926	1	60	0.37477	0.25774	0.57183
GO_CILIUM_ORGANIZATION	168	0.40059	0.010989	0.27386	0.59941	0.99001	1	0.40858	0.87313	0.95634	101	0.34277	0.1988	0.93114	67	0.50778	0.999	1
GO_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY	64	0.53905	0.97303	1	0.46095	0.027972	0.12993	0.439	0.93806	0.9774	28	0.44811	0.8991	1	36	0.43191	0.73726	0.8946
GO_REGULATION_OF_RESPONSE_TO_FOOD	16	0.45799	0.46454	1	0.54201	0.53646	0.7724	0.35406	0.3986	0.75371	9	0.35115	0.43856	1	7	0.35781	0.36164	0.66166
GO_CHONDROCYTE_DIFFERENTIATION	58	0.45446	0.44655	1	0.54554	0.55445	0.78679	0.3722	0.3966	0.75282	33	0.36825	0.50549	1	25	0.37741	0.37463	0.66914
GO_REGULATION_OF_CELLULAR_LOCALIZATION	1208	0.4681	0.78721	1	0.5319	0.21379	0.44713	0.36066	0.003996	0.13849	650	0.34663	0.026973	0.57661	558	0.37701	0.054945	0.30047
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	18	0.54155	0.83516	1	0.45845	0.16583	0.38779	0.35463	0.33866	0.71436	7	0.27707	0.22278	0.95731	11	0.40398	0.52248	0.76906
GO_OVULATION	17	0.69416	1	1	0.30584	0.000999	0.013594	0.20197	0.005994	0.16213	5	0.30349	0.34466	0.97858	12	0.15967	0.005994	0.093604
GO_NEGATIVE_REGULATION_OF_TOR_SIGNALING	30	0.53331	0.89211	1	0.46669	0.10889	0.30228	0.35354	0.30769	0.68797	16	0.45641	0.87413	1	14	0.23598	0.01998	0.17722
GO_SUBSTANTIA_NIGRA_DEVELOPMENT	44	0.46221	0.52448	1	0.53779	0.47652	0.72318	0.41026	0.71429	0.90093	22	0.33468	0.30869	0.95895	22	0.48583	0.90609	0.96972
GO_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA_	33	0.40175	0.16084	1	0.59825	0.84016	0.98026	0.34573	0.26474	0.6484	21	0.33154	0.28671	0.95895	12	0.37056	0.36663	0.66449
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE	12	0.42707	0.37562	1	0.57293	0.62537	0.83761	0.46929	0.83516	0.94102	9	0.54896	0.95504	1	3	0.23028	0.18781	0.50759
GO_PREPULSE_INHIBITION	11	0.44706	0.42757	1	0.55294	0.57343	0.79765	0.30832	0.20679	0.59761	7	0.37335	0.56643	1	4	0.19453	0.07992	0.35233
GO_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	16	0.3614	0.098901	0.88097	0.6386	0.9021	1	0.4044	0.62837	0.8561	9	0.22418	0.067932	0.75409	7	0.63612	0.97203	0.99721
GO_MIDDLE_EAR_MORPHOGENESIS	20	0.47806	0.57642	1	0.52194	0.42458	0.67241	0.34046	0.26773	0.65113	12	0.41382	0.6993	1	8	0.23041	0.056943	0.30464
GO_REGULATION_OF_RECEPTOR_BIOSYNTHETIC_PROCESS	21	0.53372	0.83916	1	0.46628	0.16184	0.38309	0.32133	0.18282	0.57342	10	0.35821	0.5005	1	11	0.2878	0.12787	0.42259
GO_JNK_CASCADE	79	0.50404	0.89111	1	0.49596	0.10989	0.30334	0.32824	0.05994	0.40907	41	0.3606	0.44555	1	38	0.29332	0.015984	0.16075
GO_RESPONSE_TO_SALT_STRESS	19	0.57621	0.93506	1	0.42379	0.065934	0.22208	0.43285	0.76923	0.91926	10	0.606	0.99301	1	9	0.24046	0.061938	0.31757
GO_ENDODERMAL_CELL_DIFFERENTIATION	40	0.41723	0.22577	1	0.58277	0.77522	0.9401	0.35279	0.24775	0.63491	22	0.26114	0.047952	0.7014	18	0.46481	0.80619	0.92437
GO_PROTEIN_KINASE_B_SIGNALING	34	0.59008	0.98801	1	0.40992	0.012987	0.078381	0.30536	0.086913	0.46229	13	0.32721	0.32567	0.96677	21	0.29183	0.048951	0.28231
GO_SOMITOGENESIS	58	0.52584	0.92008	1	0.47416	0.080919	0.25404	0.36583	0.34166	0.71592	27	0.37436	0.54945	1	31	0.35839	0.22278	0.54287
GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	1583	0.47901	0.98701	1	0.52099	0.013986	0.082612	0.37472	0.16983	0.55764	832	0.36522	0.3976	0.99558	751	0.38524	0.11189	0.4005
GO_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	54	0.55707	0.98501	1	0.44293	0.015984	0.090788	0.32155	0.074925	0.43675	23	0.33755	0.32368	0.96677	31	0.30968	0.051948	0.28871
GO_NEGATIVE_REGULATION_OF_PROTEIN_ACTIVATION_CASCADE	11	0.78771	0.999	1	0.21229	0.001998	0.022784	0.3685	0.44555	0.776	1	0.69152	0.80719	1	10	0.3362	0.27572	0.58875
GO_TRICARBOXYLIC_ACID_METABOLIC_PROCESS	36	0.76756	1	1	0.23244	0.000999	0.013594	0.29719	0.04995	0.38535	8	0.62267	0.98402	1	28	0.20419	0.000999	0.030556
GO_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	12	0.75903	1	1	0.24097	0.000999	0.013594	0.42379	0.68032	0.88269	1	0.6511	0.77722	1	11	0.40312	0.52048	0.76867
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS	32	0.49194	0.69131	1	0.50806	0.30969	0.5605	0.36721	0.4026	0.75538	17	0.38927	0.61838	1	15	0.34221	0.24775	0.56232
GO_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	13	0.48098	0.57842	1	0.51902	0.42258	0.6714	0.40842	0.64036	0.86054	7	0.41535	0.69031	1	6	0.40032	0.53247	0.77604
GO_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	197	0.49928	0.93307	1	0.50072	0.067932	0.22658	0.37995	0.48152	0.79376	97	0.3689	0.51648	1	100	0.39067	0.41658	0.70062
